FID,District,Upazila,Union,Settlement,Camp Name,Inter Sector Coordination Group Camp Name,Unique ID,Facility Code,Facility,Geographical Coordinates,Source of Funding,Implementing Partner,Landslide,Flood,Landslide Risk,Flood Risk,Risk of both,Risk of either
713.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MQ_7,MQ,Mosque,"(21.1765374,  92.1544650999999)",**,**,**,**,No,No,No,No
714.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MQ_8,MQ,Mosque,"(21.17798965,  92.14914484)",Local Government,**,**,**,No,No,No,No
715.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MQ_9,MQ,Mosque,"(21.1784716499999,  92.14911822)",**,**,**,**,No,No,No,No
716.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MQ_10,MQ,Mosque,"(21.17955826,  92.1493784999999)",Private Donation,**,**,**,No,No,No,No
717.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MQ_11,MQ,Mosque,"(21.1803952,  92.1530876)",**,**,**,-1.0,No,Yes,No,Yes
718.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MQ_12,MQ,Mosque,"(21.17916984,  92.1503269699999)",Private Donation,**,**,**,No,No,No,No
719.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_1,MQ,Mosque,"(21.1823126399999,  92.1356508599999)",Private Donation,**,**,**,No,No,No,No
720.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_CF_1,CF,Child Friendly Space,"(21.18168768,  92.13550442)",Local Government,**,**,**,No,No,No,No
721.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_2,MQ,Mosque,"(21.1786865999999,  92.1370955)",Private Donation,**,-1.0,**,Yes,No,No,Yes
722.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_CF_2,CF,Child Friendly Space,"(21.18075573,  92.13974306)",Non-governmental Organization (United Nations),Brac,**,**,No,No,No,No
723.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_3,MQ,Mosque,"(21.17746336,  92.14212874)",Private Donation,**,**,-1.0,No,Yes,No,Yes
724.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MD_1,MD,Madrassah,"(21.17739045,  92.1420981899999)",Private Donation,**,**,-1.0,No,Yes,No,Yes
725.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MD_2,MD,Madrassah,"(21.18223902,  92.13544718)",Local Government,**,**,**,No,No,No,No
726.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_4,MQ,Mosque,"(21.17671537,  92.14256195)",Private Donation,**,**,**,No,No,No,No
727.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MD_3,MD,Madrassah,"(21.1769577899999,  92.13754516)",Private Donation,**,**,-1.0,No,Yes,No,Yes
728.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_5,MQ,Mosque,"(21.17690121,  92.1376398)",Private Donation,**,**,-1.0,No,Yes,No,Yes
729.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_6,MQ,Mosque,"(21.1790659,  92.13914821)",Private Donation,**,-1.0,**,Yes,No,No,Yes
730.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_FO_1,FO,Field Office,"(21.1768541799999,  92.1381861499999)",Non-governmental Organization (United Nations),MSF,**,-1.0,No,Yes,No,Yes
733.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 10,CXB-214,C10_MD_19,MD,Madrassah,"(21.1913862,  92.1546565999999)",Private Donation,**,**,-1.0,No,Yes,No,Yes
734.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 10,CXB-214,C10_MQ_35,MQ,Mosque,"(21.1916578,  92.1545517999999)",Private Donation,**,**,-1.0,No,Yes,No,Yes
735.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 10,CXB-214,C10_MD_20,MD,Madrassah,"(21.1893265,  92.1527401)",Private Donation,**,**,**,No,No,No,No
